year,fdi_usd,fdi_bn
2015,44009492129.5319,44.0094921295319
2016,44458571545.798,44.458571545797994
2017,39966091358.7384,39.9660913587384
2018,42117450737.2644,42.1174507372644
2019,50610647353.5911,50.610647353591105
2020,64362364994.3754,64.3623649943754
2021,44727277562.881,44.727277562881
2022,49940258404.2659,49.9402584042659
2023,28086193530.3979,28.0861935303979
2024,27139853378.1402,27.139853378140202
