date,cpi_index,cpi_yoy_pct
2016-01-01,102.9009,5.905546252736382
2016-02-01,102.1358,5.533602065543053
2016-03-01,102.5183,5.511774555926174
2016-04-01,103.6659,5.859348035024925
2016-05-01,105.196,6.58909819559681
2016-06-01,105.9611,6.130261023044636
2016-07-01,107.1087,6.463848469818312
2016-08-01,106.3436,5.302995795548382
2016-09-01,105.9611,4.135295857726495
2016-10-01,106.3436,3.3456461508111213
2016-11-01,105.9611,2.592575379973927
2016-12-01,105.196,2.230398373580811
2017-01-01,104.8135,1.858681508130644
2017-02-01,104.8135,2.6217056115485526
2017-03-01,105.196,2.6119239199245525
2017-04-01,105.9611,2.2140356665017125
2017-05-01,106.3436,1.0909160044108024
2017-06-01,107.1087,1.0830389642991545
2017-07-01,109.0214,1.785755965668523
2017-08-01,109.0214,2.518064086602312
2017-09-01,109.0214,2.8881353628831707
2017-10-01,109.7864,3.2374303672247473
2017-11-01,110.169,3.971174327182325
2017-12-01,109.4039,4.000057036389215
2018-01-01,110.169,5.109551727592332
2018-02-01,109.7864,4.744522413620378
2018-03-01,109.7864,4.363664017643254
2018-04-01,110.169,3.971174327182325
2018-05-01,110.5515,3.956890682655101
2018-06-01,111.3165,3.928532416134267
2018-07-01,115.1419,5.614035409561802
2018-08-01,115.1419,5.614035409561802
2018-09-01,115.1419,5.614035409561802
2018-10-01,115.5244,5.22651257350637
2018-11-01,115.5244,4.8610770724977215
2018-12-01,115.1419,5.244785606363234
2019-01-01,117.437,6.5971371256887235
2019-02-01,117.437,6.968622707366312
2019-03-01,118.2021,7.665521412488241
2019-04-01,119.3497,8.333287948515466
2019-05-01,120.1148,8.650538436837119
2019-06-01,120.8798,8.591089371297155
2019-07-01,122.0274,5.980012488937558
2019-08-01,122.4099,6.3122112801681896
2019-09-01,123.175,6.976695711986669
2019-10-01,124.3226,7.61588028156821
2019-11-01,125.4702,8.609263497581466
2019-12-01,126.2353,9.634546589903415
2020-01-01,126.2353,7.4919318443080085
2020-02-01,125.4702,6.840433594182427
2020-03-01,124.7051,5.501594303316093
2020-04-01,125.8527,5.448694047827529
2020-05-01,126.2353,5.09554193155215
2020-06-01,127.0003,5.063294280764863
2020-07-01,128.5304,5.329130998447873
2020-08-01,129.2955,5.625035229993669
2020-09-01,130.1179,5.636614572762322
2020-10-01,131.6603,5.902144903661943
2020-11-01,132.101,5.28476084361067
2020-12-01,130.8891,3.686607470335179
2021-01-01,130.22799999999998,3.162902928103306
2021-02-01,131.1094,4.494453663100861
2021-03-01,131.7705,5.66568648756145
2021-04-01,132.3214,5.139897674026872
2021-05-01,132.8723,5.257641879886221
2021-06-01,134.0842,5.577860839698823
2021-07-01,135.2961,5.263890877177713
2021-08-01,135.5165,4.811459022162423
2021-09-01,135.847,4.403006811514798
2021-10-01,137.6098,4.518826100198758
2021-11-01,138.4912,4.837359293268029
2021-12-01,138.1607,5.5555428221295555
2022-01-01,137.8302,5.837607887704643
2022-02-01,137.72,5.042048853857928
2022-03-01,138.8218,5.351197726349977
2022-04-01,140.6947,6.328001366370062
2022-05-01,142.127,6.965108604276438
2022-06-01,142.3474,6.162694784322076
2022-07-01,143.1186,5.7817631106883205
2022-08-01,143.4492,5.8536783343725585
2022-09-01,144.6611,6.488255169418533
2022-10-01,145.9832,6.084886396172373
2022-11-01,145.9832,5.409730004505708
2022-12-01,145.7628,5.5023606568293415
2023-01-01,146.3137,6.155037139901132
2023-02-01,146.2036,6.160034853325591
2023-03-01,146.8646,5.793614547571058
2023-04-01,147.8562,5.090099342761301
2023-05-01,148.4071,4.418653739261358
2023-06-01,150.2801,5.572774774951994
2023-07-01,153.9159,7.54430241771511
2023-08-01,153.365,6.912412198882967
2023-09-01,151.492,4.722001975652046
2023-10-01,152.4836,4.452841148844522
2023-11-01,153.2548,4.981121115306397
2023-12-01,152.9243,4.913119122300058
2024-01-01,153.0345,4.59341811463998
2024-02-01,153.365,4.898237799890026
2024-03-01,153.0345,4.201080450973227
2024-04-01,153.5853,3.8747783319197815
2024-05-01,154.1362,3.8603948193853155
2024-06-01,155.7889,3.665688271434475
2024-07-01,157.2212,2.1474714438209475
2024-08-01,157.111,2.4425390408502556
2024-09-01,157.8822,4.218176537374929
2024-10-01,159.2043,4.407490379293244
2024-11-01,159.2043,3.8820970044657566
2024-12-01,158.3229,3.530243394934618
2025-01-01,157.772,3.0957071771397837
2025-02-01,157.3313,2.5861832882339453
2025-03-01,157.5517,2.9517527093563922
