year,forex_reserves_usd,forex_reserves_bn
2015,353319061013.224,353.319061013224
2016,361694321972.036,361.694321972036
2017,412613792019.924,412.613792019924
2018,399167159226.682,399.16715922668203
2019,463469902152.507,463.469902152507
2020,590227359928.896,590.227359928896
2021,638484779930.836,638.4847799308361
2022,567298153917.14,567.29815391714
2023,627792750126.715,627.792750126715
2024,643042560625.541,643.042560625541
