year,fuel_imports_pct
2015,26.777350937984
2016,25.0353799489221
2017,27.722837394409
2018,33.2499008636957
2019,31.880343122832
2020,28.3590915050748
2021,29.8728403228095
2022,37.8444037124818
2023,33.2009829039382
2024,31.5419008927123
